epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6072264056389214,0.5737443178035766,0.4034980942896188,0.777419062067655
2,0.5215933735065752,0.5497763634686111,0.4347846058224129,0.7954549542724854
3,0.45577872137482556,0.5548020046010332,0.4574347340140842,0.8019108628149691
4,0.38145499978753544,0.5714358930358813,0.46706480841477466,0.8078010063791068
5,0.3078781065772241,0.6196732758281384,0.4698015808644841,0.8039718666966118
6,0.24266414618700094,0.7014074877091511,0.46176468790113595,0.8000133691478404
7,0.20010095380436052,0.7527177652001027,0.45616165579646406,0.7974714829370744
8,0.16776939730744683,0.8199755328767995,0.45356716195276653,0.796760087800189
9,0.14162424588257178,0.908637132795043,0.44786325366518087,0.7973300984339595
10,0.11852746175892111,0.9189097123612451,0.4561518763212171,0.797405969552402
11,0.10822694789273365,0.9819951961121507,0.459718168054983,0.7984311987721944
