epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6050621721963444,0.5860824391561518,0.39321811149449065,0.7664503064671805
2,0.525733936838309,0.5784311513724494,0.4210514899495986,0.7836660629297721
3,0.4622829877532044,0.5802245064313619,0.43048944114879717,0.789845021328969
4,0.39263854463087944,0.6323025071654441,0.4337190679452575,0.7868774337031731
5,0.31992445475767783,0.6665762533911678,0.4325012697186118,0.782695641190097
6,0.25544402914876085,0.7766817865327122,0.42134801986185194,0.7791437900643607
7,0.2050756479226092,0.8243380103709633,0.42951250415909137,0.7750288780063211
8,0.1677057843704801,0.8792819431397083,0.4286412050616749,0.7807593452213668
9,0.1413838768436903,0.9166239908974098,0.4358776353244937,0.7839156360916228
10,0.12165329882751608,0.9939378106163737,0.4216392690983958,0.7825382511925076
11,0.10546160219069955,1.0926006868420435,0.4212854130503997,0.779158341056841
12,0.09618026450962626,1.1419491042087875,0.4238442018489458,0.7805909662127422
13,0.0842700020381574,1.1218418250729318,0.43473682524489854,0.7825319066389906
14,0.07679057588610022,1.1887874171949948,0.4394234023397795,0.7865716583426369
15,0.06913797402206674,1.1716168368089472,0.430319185016653,0.7835756017879769
16,0.0669157067543472,1.2802598443916298,0.43500566771603344,0.7829065653080074
17,0.05941216044233029,1.2315766868546727,0.42157137108280907,0.7810892521434513
18,0.057067864330807995,1.3027533651512782,0.42369751304459113,0.7821198503866791
19,0.05308406808239905,1.3272515791325383,0.42865677413516395,0.7809955243038095
20,0.05091545370244532,1.3198247281927091,0.42629900252345526,0.7818002162848099
