epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6079428872825176,0.5640211866552228,0.40995913373704507,0.7742094069158341
2,0.524027514799344,0.5470463047780098,0.44875314332212113,0.8007936300096004
3,0.45583422804463064,0.5614861801859132,0.44665057150190074,0.7991326914374591
4,0.3838819372609329,0.5736432317779196,0.4605741610912033,0.8029879375185132
5,0.31162780067906887,0.6263504949283103,0.4544834107837231,0.7979134360143504
6,0.2499017130408672,0.6717415352326344,0.4524048275311718,0.7970032405680292
7,0.20225211753366024,0.7567489276992669,0.45983552529573835,0.7947485199933014
8,0.16740393753462124,0.857304572644504,0.43448296217684385,0.7884343000872731
9,0.143983996805378,0.9239174098737711,0.4505142576066595,0.7874916622179577
10,0.12116293713611939,0.9217915633671141,0.4455286477359383,0.7910977382997502
