epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6074245980605284,0.584709061971728,0.3968827874956463,0.7655613138368901
2,0.5252888067279097,0.5538458974541905,0.44924873212426036,0.7935852451866754
3,0.4601244087690565,0.5604303949989295,0.46235359098390133,0.8011534466676664
4,0.3855734891519014,0.5919820443553039,0.46352418930065936,0.8008898494856762
5,0.31359143941614787,0.6363165213304925,0.45012192437692383,0.7939752250517482
6,0.24920746626557355,0.6799581150290132,0.4576186575634863,0.7966802726404975
7,0.20385965390078659,0.7569366571345046,0.4312402152917728,0.7859876082457966
8,0.1680267074553079,0.8235850931836963,0.44338694932675204,0.7927480645261898
9,0.1441027458428811,0.8793939419476786,0.4557212080749108,0.7932646127543812
10,0.12198720694222118,0.9628282269061621,0.45049122386763846,0.7893784157889823
