epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6053210393310595,0.5846518245763618,0.3864603418818081,0.7654951089858689
2,0.5212337242193695,0.5750598000837601,0.435731026010453,0.7830255999048295
3,0.45697625454449653,0.5873468655788378,0.43737737385344977,0.7936564570950537
4,0.3835059873682122,0.6032781063873843,0.45753622638072855,0.7934925414087372
5,0.30997354896046325,0.6750775527720995,0.4277897211964567,0.7911869071243258
6,0.24976614892169827,0.7204837746140068,0.4337715375229888,0.7837254985816512
7,0.20197492305179035,0.8179289774306266,0.43608829279964423,0.7900545325319187
8,0.1686467343176241,0.8886758010039817,0.44653571440584583,0.7865948208504986
9,0.14106485218826592,0.9034971589203076,0.4361942710955618,0.7855656596037558
10,0.12311655240868732,0.9328297226243308,0.4420146993548828,0.7870058715724285
