epoch,train_loss,val_loss,val_mean_mcc,val_mean_roc_auc
1,0.6047405459657071,0.5801284614141994,0.4000658562488494,0.7714531173823488
2,0.5235723116912736,0.5768010884922365,0.4314572044497057,0.7904404823232406
3,0.45877913216133204,0.5935156539825155,0.4344782313782406,0.7954440419059375
4,0.3877105038204061,0.6031529852517585,0.4530459196541802,0.7965923120677709
5,0.3155107232591335,0.6704738038921131,0.4224365489362564,0.7833278592577418
6,0.2530034301866172,0.7589000327432366,0.4200689982860684,0.7769446485152598
7,0.2029181955148788,0.8114241822918699,0.4267126981599672,0.7824273957789852
8,0.16527062904390172,0.8826715935502335,0.43596049719566815,0.7823250411342447
9,0.1410261759252822,0.9664033121085834,0.415948160200304,0.7747842886884533
10,0.12158460656545525,1.0445853993103842,0.4053345113910735,0.7752747390109648
